"ontology/deathPlace_label","ontology/birthYear"
"Wisconsin | Monroe Wisconsin","1927"
"Queensland | Brisbane","1882"
"Big Stone Gap Virginia","1862"
"Queensland | Shire of Diamantina","1842"
"Manhattan | New York City | United States | New York","1933"
"Poughkeepsie New York | New York","1862"
"New York City | United States","1930"
"Texas | Galveston Texas | United States","1953"
"Manhattan | New York City | United States | New York","1949"
"Louisiana | New Orleans","1948"
"Minnesota | Minneapolis | Nicollet Island | Nicollett_Island_Minnesota","1840"
"Moscow | Russian Soviet Federative Socialist Republic","1887"
"Northallerton | Friarage_Hospital","1929"
"Honolulu | United States","1914"
"Franklin New Hampshire","1835"
"Barcelona | Spain","1948"
"Colombia | Cundinamarca Department | Bogotá","1848"
"Viceroyalty of New Granada | Bogotá | Free and Independent State of Cundinamarca","1771"
"Frankfurt","1869"
"Chicago | Illinois | United States","1855"
"New York City","1847"
"Dundee | Scotland","1876"
"Paris | France","1833"
"Virginia | Fairfax Virginia","1946"
"Boston","1842"
"Spain | Madrid","1939 | 1940"
"Brazil | Rio de Janeiro | Rio de Janeiro (state) | Empire of Brazil","1794"
"Bogotá | United States of Colombia | Cundinamarca State","1824"
"Colombia | Cundinamarca Department | Anapoima | Gran Colombia","1828"
"Barcelona | Spain","1860"
"León Guanajuato | Mexico","1838"
"Slovenia | Ljubljana","1922"
"Salon-de-Provence | France","1864"
"Philippines | Ifugao | Banaue Rice Terraces","1967"
"New South Wales | Australia","1877"
"New York City","1871"
"Spain | Madrid","1829"
"Berlin | German Empire","1831"
"Netherlands | The Hague","1917"
"Lisbon | Portugal","1876"
"Texas | Kerr County Texas | Kerrville Texas","1880"
"New York City | New York","1938"
"Bainbridge Island Washington","1925"
"Los Angeles","1916"
"Louisiana | Baton Rouge Louisiana","1937"
"Arlington County Virginia | United States","1934"
"Mexico City | Mexico","1928"
"Paris | France","1919"
"Locarno","1882"
"Washington D.C.","1837"
"Al-Raqqah | Syria | Syrian Desert","1973"
"Washington D.C. | United States","1920"
"Belmont Massachusetts","1873"
"India | Tamil Nadu | Chennai","1902"
"Brandenburg | Germany | Zeuthen","1918"
"Germany","1922"
"Germany | Hesse | Dreieich","1907"
"Berlin | East Germany","1892"
"Switzerland","1874"
"Kalar Iraq","1981"
"Toronto","1923"
"United Kingdom","1865"
"Louisiana | Baton Rouge Louisiana | United States","1915"
"France | Lyon","1932"
"Cairo | Egypt","1872"
"India | Mumbai | Maharashtra","1914"
"Athens | Greece","1890"
"Bali | Indonesia","1934"
"Berlin | Germany","1914"
"Gothenburg | Sweden","1890"
"Colombia | Bogotá","1919"
"Poland | Warsaw","1920"
"Zacapa | Guatemala","1945"
"Paris | France","1905"
"Munich | West Germany","1896"
"Washington D.C.","1863"
"Wyoming | Laramie County Wyoming | Cheyenne Wyoming","1918"
"Washington D.C. | United States","1941"
"Sri Lanka | Colombo","1958"
"Norway","1895"
"Brazil | São Paulo","1959"
"San Francisco","1905"
"Russia | Saratov","1908"
"New York City | New York","1894"
